rating,review_count,name,cuisine,price,location/city,location/display_address/0,location/display_address/1,location/country,location/address2,location/address3,location/state,location/address1,location/zip_code,id,location/display_address/2
4.5,241,Chow House,chinese,$$,New York,181 Bleecker St,"New York, NY 10012",US,,,NY,181 Bleecker St,10012,0dDCDQz7DrKkSvu9h2hcQw,
4,1122,Han Dynasty,chinese,$$,New York,90 3rd Ave,"New York, NY 10003",US,,,NY,90 3rd Ave,10003,wfhMIiMh2A2psCGONOVSlg,
4,1384,Café China,chinese,$$,New York,13 E 37th St,"New York, NY 10016",US,,,NY,13 E 37th St,10016,xq0cX_DgxiJMXwhmEl9kUA,
4.5,1179,Wah Fung No 1 Fast Food,chinese,$,New York,79 Chrystie St,"New York, NY 10002",US,,,NY,79 Chrystie St,10002,X8ZS-dgiMIJvhwf9SaDnjw,
4.5,663,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,$,New York,118 Eldridge St,"New York, NY 10002",US,,,NY,118 Eldridge St,10002,lynQoI3w_pzYfHGeuUU-Qg,
4,5693,Joe's Shanghai,chinese,$$,New York,9 Pell St,"New York, NY 10013",US,,,NY,9 Pell St,10013,0CjK3esfpFcxIopebzjFxA,
4,612,China Blue,chinese,$$,New York,135 Watts St,"New York, NY 10013",US,,,NY,135 Watts St,10013,0k678lCWQyReNi0lARlOmw,
4,515,Han Dynasty,chinese,$$,New York,215 W 85th St,"New York, NY 10024",US,,,NY,215 W 85th St,10024,ojbH3wnRu050hRhkmoxRiA,
4.5,235,Clay Pot - East Village,chinese,$$,New York,58 St Mark's Pl,"New York, NY 10003",US,,,NY,58 St Mark's Pl,10003,ZCAkVl5SeCDeBWg_xjfYeg,
4,263,Kings Co Imperial,chinese,$$,Brooklyn,20 Skillman Ave,"Brooklyn, NY 11211",US,,,NY,20 Skillman Ave,11211,vZgJyMZlpSSS_Y-duxd4_A,
4,274,Hunan Delight,chinese,$$,Brooklyn,752 Union St,"Brooklyn, NY 11215",US,,,NY,752 Union St,11215,_XLLSXPIjgoZQtwU3RCcQA,
4,403,21 Shanghai House,chinese,$$,New York,21 Division St,"New York, NY 10002",US,,,NY,21 Division St,10002,ynB8T3htx8s5V0YV8gVPGA,
4.5,494,Fishmarket Restaurant,chinese,$$,New York,111 South St,"New York, NY 10038",US,,,NY,111 South St,10038,LpVbI-E9C-CSp7WhU5h2Iw,
4,951,Noodle Village,chinese,$,New York,13 Mott St,"New York, NY 10013",US,,,NY,13 Mott St,10013,bnDfFdiCcPzhuNWUJORvLQ,
3.5,693,Yaso Tangbao,chinese,$$,Brooklyn,148 Lawrence St,"Brooklyn, NY 11201",US,,,NY,148 Lawrence St,11201,xH7mEjh4Rn6KdHjXYNoOjw,
4,563,Hao Noodle and Tea By Madam Zhu's Kitchen,chinese,$$,New York,401 6th Ave,"New York, NY 10014",US,,,NY,401 6th Ave,10014,scTDvJ2M2jDbb1ntVeIyxA,
4,1644,88 Lan Zhou Handmade Noodle,chinese,$,New York,40 Bowery St,"New York, NY 10013",US,,,NY,40 Bowery St,10013,Lbs8QBRN1U7IYBo5Mcv-RQ,
4.5,97,Xifu Food,chinese,$,Brooklyn,318 Livingston St,"Brooklyn, NY 11217",US,,,NY,318 Livingston St,11217,rPTX2J5KGDkN1QhPD-QOvg,
4,191,Han Dynasty,chinese,$$,Brooklyn,1 Dekalb Ave,"Brooklyn, NY 11201",US,,,NY,1 Dekalb Ave,11201,Q1TpfbuPwKPFrNFyu-u2_g,
4,1493,Shanghai 21,chinese,$$,New York,21 Mott St,"New York, NY 10013",US,,,NY,21 Mott St,10013,R26zweQ8-xoZS7iHkXQOvw,
4,2328,The Smith,chinese,$$,New York,956 2nd Ave,"New York, NY 10022",US,,,NY,956 2nd Ave,10022,C-8mGN7lt5rIraO5n-15ug,
5,7,The Poni Room,chinese,,New York,316 Bowery,"New York, NY 10012",US,,,NY,316 Bowery,10012,63xEppObiNqq_lVE5HGFvw,
